,proc_id,cpt_1,cpt_2,cpt_3,cpt_4,cpt_5,cpt_6,cpt_7,total_cost - mean,patient_cost - mean,Episode Count,carrum_price_1,carrum_price_2,carrum_price_3,carrum_price_4,carrum_price_5,carrum_price_6,carrum_price_7,highest_cost,id,7th-largest,6th-largest,5th-largest,4th-largest,3nd-largest,2nd-largest,largest,final_cost,estimated_paid_amounts
124,124,28750,20680,-999,-999,-999,-999,-999,4375.31,0,3,11900,7025,,,,,,11900,124,7025,11900,,,,,,15412.5,4375.31
125,125,28750,28285,-999,-999,-999,-999,-999,19277.87,7,11,11900,7575,,,,,,11900,125,7575,11900,,,,,,15687.5,19270.87
126,126,28750,28755,-999,-999,-999,-999,-999,3375.31,446.32,1,11900,11900,,,,,,11900,126,11900,11900,,,,,,17850,2928.99
127,127,28750,-999,-999,-999,-999,-999,-999,6432.7225,319.5616667,12,11900,,,,,,,11900,127,11900,,,,,,,11900,6113.160833
128,128,28755,28285,28286,-999,-999,-999,-999,9708.88,230,1,11900,7575,7575,,,,,11900,128,7575,7575,11900,,,,,17581.25,9478.88
129,129,28755,28285,-999,-999,-999,-999,-999,9708.88,230,1,11900,7575,,,,,,11900,129,7575,11900,,,,,,15687.5,9478.88
130,130,28755,-999,-999,-999,-999,-999,-999,6432.7225,319.5616667,2,11900,,,,,,,11900,130,11900,,,,,,,11900,6113.160833
131,131,28760,-999,-999,-999,-999,-999,-999,29960.03,2995.97,1,11900,,,,,,,11900,131,11900,,,,,,,11900,26964.06
132,132,29806,29807,29822,-999,-999,-999,-999,19410.3,150,1,11700,11700,9850,,,,,11700,132,9850,11700,11700,,,,,20012.5,19260.3
133,133,29806,29807,-999,-999,-999,-999,-999,14701.035,367.7233333,8,11700,11700,,,,,,11700,133,11700,11700,,,,,,17550,14333.31167
134,134,29806,29822,-999,-999,-999,-999,-999,9981.54125,48.41506849,2,11700,9850,,,,,,11700,134,9850,11700,,,,,,16625,9933.126182
135,135,29806,29823,-999,-999,-999,-999,-999,14554.82,1455.48,1,11700,9850,,,,,,11700,135,9850,11700,,,,,,16625,13099.34
136,136,29806,29826,29807,-999,-999,-999,-999,12210.06857,1143.296296,2,11700,10125,11700,,,,,11700,136,10125,11700,11700,,,,,20081.25,11066.77227
137,137,29806,29826,-999,-999,-999,-999,-999,9980.26,1517.315,6,11700,10125,,,,,,11700,137,10125,11700,,,,,,16762.5,8462.945
138,138,29806,29827,29823,29826,29807,-999,-999,10884.56357,176.4223573,1,11700,11700,9850,10125,11700,,,11700,138,9850,10125,11700,11700,11700,,,25468.75,10708.14121
139,139,29806,29827,29826,29822,-999,-999,-999,10884.56357,176.4223573,1,11700,11700,10125,9850,,,,11700,139,9850,10125,11700,11700,,,,22543.75,10708.14121
140,140,29806,29827,29826,-999,-999,-999,-999,10884.56357,176.4223573,1,11700,11700,10125,,,,,11700,140,10125,11700,11700,,,,,20081.25,10708.14121
141,141,29806,-999,-999,-999,-999,-999,-999,10884.56357,176.4223573,27,11700,,,,,,,11700,141,11700,,,,,,,11700,10708.14121
142,142,29807,23412,29827,-999,-999,-999,-999,10884.56357,176.4223573,1,11700,10225,11700,,,,,11700,142,10225,11700,11700,,,,,20106.25,10708.14121
143,143,29807,29806,29823,29826,-999,-999,-999,10884.56357,176.4223573,2,11700,11700,9850,10125,,,,11700,143,9850,10125,11700,11700,,,,22543.75,10708.14121
144,144,29807,29822,-999,-999,-999,-999,-999,10884.56357,176.4223573,2,11700,9850,,,,,,11700,144,9850,11700,,,,,,16625,10708.14121
145,145,29807,29823,29806,-999,-999,-999,-999,10884.56357,176.4223573,1,11700,9850,11700,,,,,11700,145,9850,11700,11700,,,,,20012.5,10708.14121
146,146,29807,29823,29826,-999,-999,-999,-999,10884.56357,176.4223573,1,11700,9850,10125,,,,,11700,146,9850,10125,11700,,,,,19225,10708.14121
147,147,29807,29823,-999,-999,-999,-999,-999,10884.56357,176.4223573,3,11700,9850,,,,,,11700,147,9850,11700,,,,,,16625,10708.14121
148,148,29807,29826,29806,29822,-999,-999,-999,10884.56357,176.4223573,1,11700,10125,11700,9850,,,,11700,148,9850,10125,11700,11700,,,,22543.75,10708.14121
149,149,29807,29826,29822,-999,-999,-999,-999,10884.56357,176.4223573,1,11700,10125,9850,,,,,11700,149,9850,10125,11700,,,,,19225,10708.14121
